il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
3826,NA0030/2021,22216,KANMANI A/P P.MEYAPPAN,PUSAT HEMODIALISIS MAWAR,"No. 71,Jalan Rasah,70300,Seremban,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3827,NA0031/2021,22217,DENNIS TING SZE YANG,ASIAPRISE BIOTECH SDN. BHD. [NILAI MEDICAL CENTRE],"PT13717,Jalan BBN 2/1,71800,Nilai,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3828,NA0032/2021,22218,YAHAYA BIN ARSHAD,BAHAU PHARMACY SDN. BHD.,"108,Jalan Mewah,72100,Bahau,Jempol,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Runcit
3829,NA0033/2021,22219,CHAI YUET YING,AV MANUFACTURING SDN. BHD.,"LOT 10621,Jalan Permata 2, Arab Malaysian Industrial Park,71800,Nilai,Seremban,Negeri Sembilan",27/10/2020,1/1/2021,31/12/2021,,Borong
3830,NA0034/2021,22226,MUHAMMAD HAFIZ BIN ZULKIFLI,RANTAU PHARMACY,"NO 210,Jalan Besar Rantau,71200,Rantau,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3831,NA0035/2021,22227,CHONG CHEE HOH,PRISTINE OCEAN PHARMACY SDN. BHD.,"10,Jalan Jasper Jaya 1, Taman Jasper Jaya,70200,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3832,NA0036/2021,22228,YAP HUI MAN,HEALTH LANE FAMILY PHARMACY SDN. BHD. [HEALTH LANE FAMILY PHARMACY],"NO. 206,Jalan Persiaran Bukit Coral 1, Taman Bukit Coral, Sikamat,70400,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,30/04/2021,Runcit
3833,NA0037/2021,22229,GO POH POH,ALPROEAN ALPHA SDN. BHD. [FARMASI ALPRO],"NO 35 GF,Jalan S2 B18, Biz Avenue, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3834,NA0038/2021,22230,TAN YEE VERN,MULTICARE PHARMACY (MANTIN) SDN. BHD. [MULTICARE PHARMACY],"NO 457,Jalan Sri Pulai 26, Taman Sri Pulai 2,70400,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3835,NA0039/2021,22231,SAIFUL IMRAN BIN SAIRAN,ALL DAY PHARMACY SDN. BHD. [ALLDAY PHARMACY],"No. 87-G,Jalan Taman Komersial Senawang 4, Taman Komersial Senawang,70450,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,11/5/2021,Runcit
3836,NA0040/2021,22232,MUHAMMAD WALIYUDDIN BIN YAHAYA,BAHAU PHARMACY SDN. BHD.,"108,Jalan Mewah,72100,Bahau,Jempol,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3837,NA0041/2021,22233,NG JENG HO,MULTICARE HEALTH PHARMACY SDN. BHD. [MULTICARE PHARMACY],"NO 40,Jalan Besar,73000,Tampin,Tampin,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,7/4/2021,Runcit
3838,NA0042/2021,22234,NG JIN YONG,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"NO 97 & 98,Jalan Gurney,72100,Bahau,Jempol,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3839,NA0043/2021,22235,NUR SYAMIM BINTI ISMAIL,Nur Syamim binti Ismail (Farmasi Chembong) [Farmasi Chembong],"No 34, Ground Floor,Taman Rembau Jaya,71300,Chembong,Rembau,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Runcit
3840,NA0044/2021,22236,SHERMAINE WEE SYIE YIENG,ALPRO PHARMACY (SIKAMAT) SDN. BHD. [FARMASI ALPRO],"No 32,Jalan S2 F1, Garden Homes, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,31/05/2021,Runcit
3841,NA0045/2021,22237,LEE MOG YAN @ LEE BOON YONG,ASIAPRISE BIOTECH SDN. BHD. [NILAI MEDICAL CENTRE],"PT13717,Jalan BBN 2/1,71800,Nilai,Seremban,Negeri Sembilan",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
3842,NA0046/2021,22240,LOOI WENN IYNG,PERTANIAN FARMIX (M) SDN. BHD. [FARMASI FARMIX],"133,Jalan Toman 6, Kemayan Square,70200,Seremban,Seremban,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
3843,NA0047/2021,22241,LIEW JIA NENG,HEALTH LANE FAMILY PHARMACY SDN. BHD. [HEALTH LANE FAMILY PHARMACY],"NO. 903,Jalan S2 F23, Garden Homes, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,,Runcit
3844,NA0048/2021,22242,CHAN LEE MEI,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"3383,Jalan Rj 6/1, Taman Rasah Jaya,70300,Seremban,Seremban,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,,Runcit
3845,NA0049/2021,22243,'AQILAH NADIRAH BINTI BAKHTIAR JAMILEE,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No. 14G, Ground Floor,Jalan S2 B18, Biz Avenue, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,2/7/2021,Runcit
3846,NA0050/2021,22244,SITI NOR FAIZA BINTI OMAR,Qbiz Enterprise [Farmasi Qbiz],"80G,Jalan S2 B19, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,,Runcit
3847,NA0051/2021,22245,ADELINE YEW LI FEI,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO 2,Jalan Mahajaya, PD Centre Point,71000,Port Dickson,Port Dickson,Negeri Sembilan",2/11/2020,1/1/2021,31/12/2021,14/04/2021,Runcit
3848,NA0052/2021,22246,DORINA YONG LIFERN,MULTICARE PHARMACY (MANTIN) SDN. BHD. [MULTICARE PHARMACY],"27F TINGKAT BAWAH,Jalan Besar, Pekan Mantin,71700,Mantin,Seremban,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,,Runcit
3849,NA0053/2021,22248,TAI SOO FERN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 17 & 19, GROUND FLOOR,,Jalan Tan Sri Manickavasagam (Jalan Lobak),70200,Seremban,Seremban,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,2/8/2021,Runcit
3850,NA0054/2021,22249,TEY LU PING,CARING PHARMACY SDN. BHD. [CARING PHARMACY],"Lot G29 and G30, Ground Floor, Palm Mall,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,,Runcit
3851,NA0055/2021,22250,LEONG KEE LAI,FARMASI RJ SDN. BHD. [FARMASI RASAH JAYA],"3441,Jalan Rasah Jaya Utama 1, Taman Rasah Jaya,70300,Seremban,Seremban,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,,Runcit
3852,NA0056/2021,22251,NUR AMALINA BINTI MOHD AZAM,FRESENIUS MEDICAL CARE PRODUCTION SDN. BHD.,"Lot 34618, PT.29466,Techpark@ Enstek,71760,Bandar Enstek,Seremban,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,,Borong
3853,NA0057/2021,22252,SIOW ELENE,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 19,Jalan Dato' Abdullah,71600,Kuala Klawang,Jelebu,Negeri Sembilan",5/11/2020,1/1/2021,31/12/2021,,Runcit
3854,NA0058/2021,22254,NOR HIDAYATI BINTI MOHAMED AMIN,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"NO 10 & 11,Jalan Dato' Sheikh Ahmad,70000,Seremban,Seremban,Negeri Sembilan",11/11/2020,1/1/2021,31/12/2021,,Runcit
3855,NA0059/2021,22255,SIM HUI YEN,COLUMBIA ASIA SDN. BHD. [COLUMBIA ASIA HOSPITAL],"292,Jalan Haruan 2, Oakland Commercial Centre,70300,Seremban,Seremban,Negeri Sembilan",11/11/2020,1/1/2021,31/12/2021,,Runcit
3856,NA0060/2021,22256,CHAN RUEN PING,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO 7,Jalan Terentang,71300,Rembau,Rembau,Negeri Sembilan",11/11/2020,1/1/2021,31/12/2021,,Runcit
3857,NA0061/2021,22257,LOW SWEE SIONG,ALPRO PHARMACY (TELUK KEMANG) SDN. BHD. [FARMASI ALPRO],"19G,Jalan PDS 1, PD Sunggala Gateway,71050,Si Rusa,Port Dickson,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,,Runcit
3858,NA0062/2021,22258,RATNARYTHA JAAFAR,WATSON'S PERSONAL CARE STORES SDN. BHD. [WATSONS],"No.1, Tingkat Bawah, 9 Avenue Taman Korporat, Giant Superstore Nilai,Jalan Bbn 3/1, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,,Runcit
3859,NA0063/2021,22259,SIOW YI XIN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 35 & 36,Jalan Dato Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,,Runcit
3860,NA0064/2021,22260,TAN ZHI YING,CARING PHARMACY SDN BHD,"161-G, TAIPAN SENAWANG,Jalan Komersial Senawang 1,70450,Seremban,Seremban,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,,Runcit
3861,NA0065/2021,22261,TAN KWONG HENG,FARMASI TAMPIN SDN. BHD. [FARMASI TAMPIN],"598,Jalan Besar,73000,Tampin,Tampin,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,,Runcit
3862,NA0066/2021,22262,LIOW HIN TENG,ALPRO PHARMACY (SEREMBAN) SDN. BHD. [FARMASI ALPRO],"NO 9-12,Jalan Waterfront 3, TF-Value Mart, Pd Waterfront,71000,Port Dickson,Port Dickson,Negeri Sembilan",12/11/2020,1/1/2021,31/12/2021,18/03/2021,Runcit
3863,NA0067/2021,22263,KOGILAVAANI A/P KANDASAMY,SIA & SIA PHARMACY,"No. 17, Lot 28398,Pasaraya Zemart,71760,Bandar Enstek,Seremban,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,,Runcit
3864,NA0068/2021,22264,LIM HUI LING,ALPRO PHARMACY SDN. BHD. [FARMASI ALPRO],"G4, Ground Floor Regina Mall, Port Dickson,Jalan Pantai,71000,Port Dickson,Port Dickson,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,,Runcit
3865,NA0069/2021,22265,LEE BOON CHEAN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"No. 10-G,,Pasar Lukut,71010,Lukut,Port Dickson,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,,Runcit
3866,NA0070/2021,22266,MUHAMMAD RASYID BIN MOHD RAZALI,WATSON'S PERSONAL CARE STORES SDN. BHD. [WATSONS],"G-21 (GF), AEON Mall Nilai,Persiaran Pusat Bandar, Putra Point, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,25/02/2021,Runcit
3867,NA0071/2021,22267,NOOR SHAAHIDA BINTI ZAINAL ABIDIN,WATSON'S PERSONAL CARE STORES SDN. BHD. [WATSONS],"No. 11, UG Floor Palm Mall,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,27/03/2021,Runcit
3868,NA0072/2021,22268,NURUL WAHEEDAH BINTI MOHD ZAHARIN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO 6,Jalan Mahkamah,73400,Gemas,Tampin,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,,Runcit
3869,NA0073/2021,22269,KOW LI MUN,ALPRO PHARMACY (SIKAMAT) SDN. BHD. [FARMASI ALPRO],"471,Jalan Sri Pulai 26, Taman Sri Pulai 2,70400,Seremban,Seremban,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,30/04/2021,Runcit
3870,NA0074/2021,22270,KAVEETA A/P PERGAS,COLUMBIA ASIA SDN. BHD. [COLUMBIA ASIA HOSPITAL],"292,Jalan Haruan 2, Oakland Commercial Centre,70300,Seremban,Seremban,Negeri Sembilan",16/11/2020,1/1/2021,31/12/2021,,Runcit
3871,NA0075/2021,22271,CHIN KHEE YANG,ASIAPRISE BIOTECH SDN. BHD. [NILAI MEDICAL CENTRE],"PT13717,Jalan BBN 2/1,71800,Nilai,Seremban,Negeri Sembilan",18/11/2020,1/1/2021,31/12/2021,22/07/2021,Runcit
3872,NA0076/2021,22272,VINCENT GAN BENG YONG,FIJILIAM ENTERPRISE SDN. BHD.,"100 & 101 TAMAN AST,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",18/11/2020,1/1/2021,31/12/2021,,Borong
3873,NA0077/2021,22279,WAH MEI CHIN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"126-G, Taipan Senawang,Jalan Komersial Senawang 1,70450,Seremban,Seremban,Negeri Sembilan",18/11/2020,1/1/2021,31/12/2021,,Runcit
3874,NA0078/2021,22274,ONG CHOONG KOON,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"126-G, Taipan Senawang,Jalan Komersial Senawang 1,70450,Seremban,Seremban,Negeri Sembilan",18/11/2020,1/1/2021,31/12/2021,31/05/2021,Runcit
3875,NA0079/2021,22275,HIEW FEI TSONG,ALPRO PHARMACY SDN. BHD. [FARMASI ALPRO],"G4, Ground Floor Regina Mall, Port Dickson,Jalan Pantai,71000,Port Dickson,Port Dickson,Negeri Sembilan",18/11/2020,1/1/2021,31/12/2021,,Runcit
3876,NA0080/2021,22276,CHEE HENG JET,HEALTH LANE FAMILY PHARMACY SDN. BHD. [HEALTH LANE FAMILY PHARMACY],"NO. 30-G,Jalan BPS 3, Bandar Prima Senawang,70450,Seremban,Seremban,Negeri Sembilan",23/11/2020,1/1/2021,31/12/2021,,Runcit
3877,NA0081/2021,22277,MAHMUD ULWAN BIN SALEHAN,BIO MOLECULAR INDUSTRIES SDN. BHD.,"PT22,Persiaran Teknologi 1, Techpark@ Enstek,71760,Bandar Enstek,Seremban,Negeri Sembilan",23/11/2020,1/1/2021,31/12/2021,,Borong
3878,NA0082/2021,22280,LIM VEEN MAY,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"No. 10-G,,Pasar Lukut,71010,Lukut,Port Dickson,Negeri Sembilan",24/11/2020,1/1/2021,31/12/2021,8/4/2021,Runcit
3879,NA0083/2021,22282,LAI PICK CHAI,AEON CO. (M) BHD. [AEON WELLNESS],"G-A01, Ground Floor, Pusat Beli-Belah AEON NILAI,,Persiaran Pusat Bandar, Putra Point, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",26/11/2020,1/1/2021,31/12/2021,,Runcit
3880,NA0084/2021,22283,MENAKAH A/P ALAGAPPA,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No B12-B14, Giant Hypermarket Senawang, Lot 1571,Jalan Bandar Senawang,70450,Seremban,Seremban,Negeri Sembilan",26/11/2020,1/1/2021,31/12/2021,,Runcit
3881,NA0085/2021,22284,GO SWEE TENG,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"126-G, Taipan Senawang,Jalan Komersial Senawang 1,70450,Seremban,Seremban,Negeri Sembilan",26/11/2020,1/1/2021,31/12/2021,4/3/2021,Runcit
3882,NA0086/2021,22285,NUR AKMAL BINTI ISMAIL,IJ PHARMACY (KT) SDN. BHD. [FARMASI IJ],"3-G, Seremban City Center,Jalan Tuanku Munawir,70000,Seremban,Seremban,Negeri Sembilan",26/11/2020,1/1/2021,31/12/2021,,Runcit
3883,NA0087/2021,22301,LEE YIN CHEN,ALPRO PHARMACY SDN BHD [FARMASI ALPRO],"UNIT V1-A, LOT NO.PT45880,Jalan Techvalley 3/2, Sendayan Techvalley,71950,Bandar Sri Sendayan,Seremban,Negeri Sembilan",30/11/2020,1/1/2021,31/12/2021,,Borong
3884,NA0088/2021,22289,YOUNG HUI YEE,ALPRO PHARMACY (TAMPIN) SDN. BHD. [FARMASI ALPRO],"No 21 & 22,Jalan Besar,73000,Tampin,Tampin,Negeri Sembilan",30/11/2020,1/1/2021,31/12/2021,14/07/2021,Runcit
3885,NA0089/2021,22290,TOH SHIEK CHI,APD PHARMA SDN BHD,"NO 32 (FIRST FLOOR),Jalan S2 F1, Garden Homes, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",30/11/2020,1/1/2021,31/12/2021,,Borong
3886,NA0090/2021,22291,ELAINE YOONG LI YUN,WATSON'S PERSONAL CARE STORES SDN. BHD. [WATSONS],"G06 & G07, Ground Floor, Seremban Prima Mall, Lot 4973,Jalan Dato' Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",30/11/2020,1/1/2021,31/12/2021,,Runcit
3887,NA0091/2021,22292,TAE WEY,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 17 & 19, GROUND FLOOR,,Jalan Tan Sri Manickavasagam (Jalan Lobak),70200,Seremban,Seremban,Negeri Sembilan",1/12/2020,1/1/2021,31/12/2021,,Runcit
3888,NA0092/2021,22293,NURSUAIDAH BINTI RAMLAN,SIA & SIA PHARMACY,"Lot G-11, No.1, Tesco Putra Nilai,Jalan Bbn 1/3, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",1/12/2020,1/1/2021,31/12/2021,,Runcit
3889,NA0093/2021,22294,OH ANN NAH,TOP HEALTH CARE [TOP PHARMACY],"15,Jalan Besar Ladang Geddes,72120,Bandar Seri Jempol,Jempol,Negeri Sembilan",1/12/2020,1/1/2021,31/12/2021,,Runcit
3890,NA0094/2021,22295,DIANA KHOO WEE LING,MAHARANI SPECIALIST HOSPITAL SDN. BHD. [KPJ SEREMBAN SPECIALIST HOSPITAL],"Lot 6219 & 6220,Jalan Toman 1, Kemayan Square,70200,Seremban,Seremban,Negeri Sembilan",2/12/2020,1/1/2021,31/12/2021,,Runcit
3891,NA0095/2021,22296,TIONG SAN @ CHONG PECK KOI,LIFE PHARMACY SDN. BHD. [FARMASI LIFE],"28,Jalan Dato Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",2/12/2020,1/1/2021,31/12/2021,,Runcit
3892,NA0096/2021,22297,CHONG YONG HWA,LIFE PHARMACY SDN. BHD. [FARMASI LIFE],"28,Jalan Dato Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",2/12/2020,1/1/2021,31/12/2021,,Runcit
3893,NA0097/2021,22298,ZAINOIRWAN BIN ZAINUDDIN,Novugen Pharma (M) SDN BHD,"No 27,Lengkuk Teknologi 2, Techpark@ Enstek,71760,Bandar Enstek,Seremban,Negeri Sembilan",3/12/2020,1/1/2021,31/12/2021,,Borong
3894,NA0098/2021,22299,WONG SZE KHEI,ALPRO OPPS SDN. BHD. [FARMASI ALPRO],"NO 62,Jalan Besar, Pekan Mantin,71700,Mantin,Seremban,Negeri Sembilan",3/12/2020,1/1/2021,31/12/2021,,Runcit
3895,NA0099/2021,22300,JOAN YIAP YA TING,HEALTH LANE FAMILY PHARMACY SDN BHD [HEALTH LANE FAMILY PHARMACY],"LOT NO G-20A,Persiaran Ilmu Bbn, Putra Nilai,71800,Nilai,Seremban,Negeri Sembilan",3/12/2020,1/1/2021,31/12/2021,,Runcit
3896,NA0100/2021,22303,DHINISHWARY A/P THANGARAJAH,ALPRO PHARMACY (TELUK KEMANG) SDN. BHD. [FARMASI ALPRO],"19G,Jalan PDS 1, PD Sunggala Gateway,71050,Si Rusa,Port Dickson,Negeri Sembilan",9/12/2020,1/1/2021,31/12/2021,2/3/2021,Runcit
3897,NA0101/2021,22304,SHAFEEQ BIN MOHD FAIZAL,MAHARANI SPECIALIST HOSPITAL SDN. BHD. [KPJ SEREMBAN SPECIALIST HOSPITAL],"Lot 6219 & 6220,Jalan Toman 1, Kemayan Square,70200,Seremban,Seremban,Negeri Sembilan",9/12/2020,1/1/2021,31/12/2021,,Runcit
3898,NA0102/2021,22305,MUHAMMAD FIRDAUS BIN MOHD SHUIB,MAHARANI SPECIALIST HOSPITAL SDN. BHD. [KPJ SEREMBAN SPECIALIST HOSPITAL],"Lot 6219 & 6220,Jalan Toman 1, Kemayan Square,70200,Seremban,Seremban,Negeri Sembilan",9/12/2020,1/1/2021,31/12/2021,,Runcit
3899,NA0103/2021,22306,JOHNSON LING CHIA BAO,KIARA PHARMACY,"No.26,Jalan Kiara 1, Pusat Perniagaan Kiara,72100,Bahau,Jempol,Negeri Sembilan",9/12/2020,1/1/2021,31/12/2021,,Runcit
3900,NA0104/2021,22307,NURULJANNAH ZAHRAA' BINTI BADROL ZAMAN,OK HEALTH GROUP (MALAYSIA) SDN. BHD. [FARMASI OK],"PT20572,Jalan Ts 2/1 E, Taman Semarak 2,71800,Nilai,Seremban,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Runcit
3901,NA0105/2021,22308,ABU ZAIMAH BIN ABDUL RAZAK,HONEY PHARMACY,"3B, Kedai Mara, Batu 3 3/4,Jalan Pantai,71050,Port Dickson,Port Dickson,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Runcit
3902,NA0106/2021,22309,WAN PUTRI AMINA BINTI ROSLAN,Tenang Pharma Sdn Bhd,"PT 3337,Jalan Permata 1/2, Arab Malaysian Industrial Park,71800,Nilai,Seremban,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Borong
3903,NA0107/2021,22310,MARSHIDAH BINTI MOHAMAD MOHAIDIN,MEDIC ALCHEMY SDN BHD,"943,Jalan S2 F23, Garden Homes, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Runcit
3904,NA0108/2021,22313,SIOW SUE SWEN,NEGRI SEMBILAN CHINESE MATERNITY ASSOCIATION [CMH SPECIALIST HOSPITAL],"LOT 3900,Jalan Tun Dr Ismail,70200,Seremban,Seremban,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Runcit
3905,NA0109/2021,22312,VOON CHEE HING,GUARDIAN HEALTH AND BEAUTY SDN. BHD. [GUARDIAN],"Lot No. 14G, Ground Floor,Jalan S2 B18, Biz Avenue, Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",11/12/2020,1/1/2021,31/12/2021,,Runcit
3906,NA0110/2021,22314,IZWAN IKMAL BIN ISHAK,ALPRO PHARMACY (TELUK KEMANG) SDN. BHD. [FARMASI ALPRO],"19G,Jalan PDS 1, PD Sunggala Gateway,71050,Si Rusa,Port Dickson,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,17/06/2021,Runcit
3907,NA0111/2021,22315,ROSE LING YANN IN,Dualcare Pharmacy Sdn Bhd [Dualcare Pharmacy],"2529,Jalan SJ 2/1, Taman Seremban Jaya,70450,Seremban,Seremban,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,,Runcit
3908,NA0112/2021,22316,LOW WAI NAM,FARMASI SEREMBAN HEALTHCARE SDN. BHD. [AA PHARMACY],"151,Jalan Dato Bandar Tunggal,70000,Seremban,Seremban,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,24/03/2021,Runcit
3909,NA0113/2021,22317,WONG KAH YIE,VISION BIOTECH SDN. BHD.,"PT 832,Jalan Teratai 3, Taman Indah Site 'A',71960,Port Dickson,Port Dickson,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
3910,NA0114/2021,22318,MOHAMAD AZRIN BIN AMRAN,FARMASI SRI JEMPOL,"319,Jalan Serting Utama 4/1, Pusat Perniagaan Serting Utama,72120,Bandar Seri Jempol,Jempol,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,,Runcit
3911,NA0115/2021,22319,LAI MEI SHEN,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO 2,Jalan Mahajaya, PD Centre Point,71000,Port Dickson,Port Dickson,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,22/04/2021,Runcit
3912,NA0116/2021,22320,CHINTU PRIYAH A/P NAGIAH,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 1173,Jalan Rasah,70300,Seremban,Seremban,Negeri Sembilan",16/12/2020,1/1/2021,31/12/2021,11/5/2021,Runcit
3913,NA0117/2021,22321,LIM KAH POH,NATURE PHARMACY [FARMASI NATURE],"2797,Jalan Sj 3/1 A, Taman Seremban Jaya,70450,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3914,NA0118/2021,22322,NIK YUSLIZA BINTI YUSOF,TYNEHEALTH PHARMACY [FARMASI TYNEHEALTH],"no.4,Jalan Kemuning 1, Taman Kemuning, Senawang,70450,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3915,NA0119/2021,22359,RENUUKA A/P PANEERSELVAM,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"NO 5,Jalan Rasah Prima 1, Pusat Komersial Rasah Prima,70300,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,14/04/2021,Runcit
3916,NA0120/2021,22324,TENG WAI LUN,PHARMART SDN. BHD. [FARMASI PHARMART],"PT 11382,Jalan Bbn 6/2 B, Taman Desa Cempaka,71800,Nilai,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3917,NA0121/2021,22325,RAIHANA BINTI ROSLAN,UKM KESIHATAN SDN BHD [FARMASI UKM KESIHATAN],"LOT 2,Jalan S2 B15, Pusat Dagangan Seremban 2,70300,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
3918,NA0122/2021,22326,CHONG PIN KHEE,WATSON'S PERSONAL CARE STORES SDN BHD,"G-8, SEREMBAN GATEWAY,Jalan Sungai Ujong,70200,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3919,NA0123/2021,22327,MUHAMMAD ARIF AIZAT BIN AFFENDI,FARMASI DUYONG SDN. BHD. [FARMASI TUAH],"1121,Jalan Besar, Gemencheh Baru,73200,Gemencheh,Tampin,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3920,NA0124/2021,22328,JAH HANINI BINTI JOHARI,ALPRO ALLIANCE SDN. BHD. [FARMASI ALPRO],"NO. 17, Bangunan Uda,Bandar Baru Ampangan,70400,Seremban,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
3921,NA0125/2021,22329,MUHAMMAD RAZI BIN MD ROSLI,BIO-CHEM ASIA PACIFIC SDN. BHD. [FARMASI MIDAS],"36,Persiaran Metro Sendayan 1, Sendayan Metro Park,71950,Bandar Sri Sendayan,Seremban,Negeri Sembilan",21/12/2020,1/1/2021,31/12/2021,,Runcit
